prospect_quality,name,phone,website,has_website,about,work,url
HOT,Noble Electric HVAC &Plumbing,(704) 292-6962,,No,"299 followers | Noble Electric, owned and operated by Noble Builders Group Inc. is a trusted Electrical Hvac & Plumbing company based in Charlotte, NC. With over 30 y",,https://www.facebook.com/profile.php?id=61583605557333
HOT,Best Home Electrical Service,(980) 328-6799,,No,18 followers | Page · Electrician,,https://www.facebook.com/profile.php?id=100083419805063
HOT,Hatten Electric - Residential Electrical Service SWVA,(276) 235-2130,,No,"234 followers | Licensed and Insured Master Electrician. From troubleshooting electrical issues to full panel upgrades, I offer reliable, professional service—and eve",,https://www.facebook.com/profile.php?id=61577330622723
HOT,"DW Electric, LLC",704-294-5501,,No,135 followers | Licensed and Insured Electrical Contractor,,https://www.facebook.com/profile.php?id=61576860967435
HOT,"FeimsterElectric, LLC",(828) 551-2965,,No,104 followers | ⚡️Electrical Contractor⚡️Generators⚡️Services⚡️EV Chargers⚡️Residential⚡️Commercial⚡️,,https://www.facebook.com/profile.php?id=61576261875766
HOT,Investments & Opportunities LLC.,(336) 212-6852,,No,0 followers | Investments & Opportunities is a multi platform investment strategy & DBA’s ex. JDHUNT Electric LLC.,,https://www.facebook.com/profile.php?id=61571573952210
HOT,"All Power Solutions,LLC",910-710-6190,,No,"53 followers | We are a family owned & operated small business providing professional,yet affordable electrical services to our community & surrounding areas!",,https://www.facebook.com/profile.php?id=100091865859352
HOT,R&S GE Services LLC.,919-998-9745,,No,43 followers | Page · Electrician,,https://www.facebook.com/profile.php?id=61559041989799
HOT,"T. H. Gary Electric, LLC",(828) 994-3449,,No,"101 followers | North Carolina, Licensed, Bonded & Insured, Residential Electrical Contractor.",,https://www.facebook.com/profile.php?id=61554743394051
HOT,Bori Electric LLC,(980) 781-8733,,No,20 followers | Small business that specializes in residential and comercial electrical services.,,https://www.facebook.com/profile.php?id=100089816691877
WARM,10 Star Solar & Electric,(980) 251-3004,http://10starsolar.com/,Yes,"6 followers | Here at 10 Star Solar & Electric, we’re more than just a Service company—we’re your partners in ensuring the long-term success for all your Solar and ",,https://www.facebook.com/profile.php?id=61587058508276
WARM,Paramount Electric Company,(443) 812-5925,https://www.google.com/search,Yes,"51 followers | Local, licensed electricians specializing in pools & spas, EV chargers, and home electrical upgrades. We do clean, code-correct work with clear commun",,https://www.facebook.com/profile.php?id=61586577455453
WARM,Greenwing Electric,(704) 576-8285,http://greenwingelectric.com/,Yes,"704 followers | Page · Heating, Ventilating & Air Conditioning Service · Electrician",,https://www.facebook.com/profile.php?id=61582534528789
WARM,Knight Electric Inc,(469) 459-1035,http://knightelectricinc.com/,Yes,"146 followers | Licensed in over 40 states, Knight Electric has deep industry expertise across all commercial environments.",,https://www.facebook.com/profile.php?id=61567495192114
WARM,MS-24 Electric Subcontractor,(929) 417-7092,https://construction.ms-24.com/,Yes,13 followers | Electrician and low voltage tech,,https://www.facebook.com/profile.php?id=100076003475750
WARM,Supreme Electrical Supply,(954) 544-5377,http://Www.Supremeelectricalsupply.com/,Yes,8 followers | Fastest service and lowest prices gauranteed! Your problem is our priority!,,https://www.facebook.com/profile.php?id=61582591087987
WARM,RJ Wiggins Company,(919) 353-8862,http://rjwiggins.com/,Yes,"218 followers | RJ Wiggins, specializing in electrical service, installation and repair.",,https://www.facebook.com/profile.php?id=100039395995608
WARM,A&E Electric,(919) 651-4720,http://ae-electric.org/,Yes,Welcome to A and E Electric! A family and veteran owned business ready for hire.,,https://www.facebook.com/profile.php?id=61579643783427
WARM,1st Electric Response Inc.,(904) 226-6788,https://www.1stelectricresponse.org/,Yes,40 followers | Electrical contractor,,https://www.facebook.com/profile.php?id=100067004346793
WARM,Elevate Workforce Inc.,(251) 662-1118,http://www.elevateworkforce.com/,Yes,"2.5K followers | For 30+ years, Elevate! Workforce has been building partnerships with a wide variety of industries. Our fresh hands-on approach is tailored to each cl",,https://www.facebook.com/profile.php?id=100055747674294
WARM,Mr. Electric of Winston-Salem,336-518-0882,https://mrelectric.com/winston-salem,Yes,27 followers | Page · Electrician,,https://www.facebook.com/profile.php?id=61572573729776
WARM,JB Electrical Service LLC,(910) 366-0826,https://www.jbelectricalservicellc.com/,Yes,"137 followers | Located in Clinton, NC, and proudly serving all surrounding counties, JB Electrical is a licensed & insured residential electrical service & construct",,https://www.facebook.com/profile.php?id=61572881854499
WARM,NG Precision Service LLC,(762) 466-8327,https://ngprecisionserv.com/,Yes,"4 followers | Family-owned and operated, we specialize in installing lights, outlets, panels, EV chargers, and more. Trusted electrical solutions with quality you c",,https://www.facebook.com/profile.php?id=61570895624886
WARM,Eastern Electrical Corp,(252) 541-4400,http://easternelectricalcorp.com/,Yes,1.3K followers | ⚡️ Excellence in every wire ⚡️,,https://www.facebook.com/profile.php?id=100092968433147
WARM,Sworn Industries Electrical,(703) 785-1005,https://maps.app.goo.gl/iaSgYCWZg3nSfa4K7,Yes,8 followers | Sworn Industries Electrical specializes in electrical maintenance & installations. We have built our reputation in excellence by concentrating on safe,,https://www.facebook.com/profile.php?id=100077075207051
WARM,"Wayne Electric Company, Inc.",919-735-1847,http://www.wayneelectriccompany.com/,Yes,212 followers | A 3rd Generation Company – Your LOCAL Electrical Experts.,,https://www.facebook.com/profile.php?id=100065189702550
WARM,Garofalo Electric LLC,(860) 829-0729,http://garofaloelectric.com/,Yes,21 followers | Page · Electrician,,https://www.facebook.com/profile.php?id=100063605919327
COLD,Booked & Banked Contractor Marketing,,,No,"0 followers | Helping contractors get more leads, better systems, and consistent revenue",,https://www.facebook.com/profile.php?id=61585826594318
COLD,Platinum Electric,,,No,2 followers | Residential Electrical Services,,https://www.facebook.com/profile.php?id=61578858472241
COLD,KANK Properties Electrical Services,,,No,Photos,,https://www.facebook.com/profile.php?id=61573111499552
COLD,TRADECO CONSTRUCTION CHARLOTTE,,,No,SPECIALIZING IN THE MEP TRADES,,https://www.facebook.com/profile.php?id=61561041593221
LOW,My electric store,,https://myelectricstore.shop/products/ge-thql1120gft-20a-gfci-circuit-breaker,Yes,"0 followers | Welcome to My Electric Store! With over 23 years of experience in residential electrical work, we offer top-quality electrical products and reliable s",,https://www.facebook.com/profile.php?id=61581353167391
LOW,"CED Solutions, LLC",,http://www.CEDSolutions.us/,Yes,"33 followers | CED Solutions, LLC builds real systems, not hype. We pressure-test ideas against reality and strip them down to what works—helping business owners mak",,https://www.facebook.com/profile.php?id=61582434512267
LOW,Trade Ease Solutions,,https://mytrade-ease.com/,Yes,262 followers | ⚙️ Admin support for contractors & trades.,,https://www.facebook.com/profile.php?id=100075659156143
